Altium Designer Pick and Place Locations
C:\Users\Joris\AppData\Local\TempReleases\Snapshot\1\Assembly 01\Pick Place\H-00488-01-A.10 Pick and place.csv

========================================================================================================================
File Design Information:

Date:       01-02-21
Time:       20:57
Revision:   Not in VersionControl
Variant:    01
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C124","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-107.5000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C107","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-86.5000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C106","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-116.5000","48.0000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C105","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-81.0000","24.5000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C104","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-100.5000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C103","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-116.5000","28.5000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C102","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-116.5000","23.5000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C101","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-116.5000","34.0000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C100","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-81.0000","32.0000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"D107","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-1.2050","-1.0000","90","TVS DIODE 5.25VWM 17VC SOT666"
"U108","TCA9548AMRGER","TopLayer","QFN25P50_400X400X100L40X24T270","-114.7500","-0.2500","180","Multiplexer, 9548 Series, 1-Func, 1 Line Input, 8 Line Output, True Output, PQCC24"
"U101","24AA025E64T-I/OT","TopLayer","SOT23-6P95_270X145L35X35","-79.4871","47.0000","270","EEPROM, 256X8, Serial, CMOS, PDSO5"
"R157","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-27.5000","0.0000","180","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R156","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-27.5000","1.0000","180","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R161","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-23.5000","4.0000","180","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R134","CRCW04023K00FKED","TopLayer","RESC100X50X40L25N","-98.7500","16.5000","90","RES Standard Thick Film 0402 3K00 ±1% 0,063W"
"R114","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-79.5000","52.0000","270","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R113","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-81.0000","44.5000","360","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R112","CRCW040210K0FKED","TopLayer","RESC100X50X40L25N","-81.0000","43.5000","360","RES Standard Thick Film 0402 10K0 ±1% 0,063W"
"R104","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","41.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R101","CRCW040220K0FKED","TopLayer","RESC100X50X40L25N","-54.0000","31.0000","90","RES Standard Thick Film 0402 20K0 ±1% 0,063W"
"R100","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-116.5000","50.0000","360","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"C123","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-81.0000","42.0000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C122","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-93.0000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C121","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-87.0000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C120","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-94.0000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C119","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-99.7500","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C118","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-97.7500","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C117","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-110.5000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C116","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-81.0000","34.0000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C115","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-81.0000","28.5000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C114","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-86.0000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C113","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-81.0000","23.5000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C112","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-103.5000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C111","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-116.5000","24.5000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C110","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-104.5000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C109","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-116.5000","32.5000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C108","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-111.5000","16.5000","270","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C154","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-23.5000","2.0000","360","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C133","C0402C180J5GACTU","TopLayer","CAPC100X50X55L30N","-117.2000","40.0000","360","CAP Standard 0402 (1005) 18,0pF 50V C0G (Standard)"
"C131","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-79.5000","49.5000","180","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"C132","C0402C104K8RACTU","TopLayer","CAPC100X50X55L30N","-80.5000","52.0000","90","CAP Standard 0402 (1005) 100,0nF 10V X7R (Standard)"
"R127","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","39.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R124","CRCW04021K20FKED","TopLayer","RESC100X50X40L25N","-78.0000","40.0000","180","RES Standard Thick Film 0402 1K20 ±1% 0,063W"
"R168","CRCW04023K90FKED","TopLayer","RESC100X50X40L25N","-6.0000","32.0000","270","RES Standard Thick Film 0402 3K90 ±1% 0,063W"
"R167","CRCW04023K90FKED","TopLayer","RESC100X50X40L25N","-6.0000","39.0000","90","RES Standard Thick Film 0402 3K90 ±1% 0,063W"
"R174","CRCW04023K90FKED","TopLayer","RESC100X50X40L25N","-110.0000","-2.5000","180","RES Standard Thick Film 0402 3K90 ±1% 0,063W"
"R173","CRCW04023K90FKED","TopLayer","RESC100X50X40L25N","-110.0000","-1.5000","180","RES Standard Thick Film 0402 3K90 ±1% 0,063W"
"MP100","LABEL-190x65","BottomLayer","LABEL_200X65_OVERLAY","-156.1000","-116.9950","180","Label Placeholder 0.75" x 0.25" (Zebra 10015764)"
"G101","HIBER-PARTNUMBER","TopLayer","HIBER_PNSN_COPPER","-156.1000","-116.9950","0","Hiber Fabrication Partnumber"
"G100","LOGO-HIBER","TopLayer","HIBER_LOGO_COPPER_55x40","-156.1000","-116.9950","0","Hiber Logo"
"D126","USBLC6-2P6","TopLayer","DIOSOFL6P50_160X160X95L29X26","-3.5000","36.8300","90","TVS DIODE 5.25VWM 17VC SOT666"
